emoji,anger,fear,joy,sadness,native,unicode,bytes-UTF-8,description
1f486,0.264,0.232,0.258,0.282,💆,1F486,\xF0\x9F\x92\x86,face massage
2611,0.305,0.295,0.206,0.251,☑,2611,\xE2\x98\x91,ballot box with check
1f340,0.17,0.16,0.324,0.156,🍀,1F340,\xF0\x9F\x8D\x80,four leaf clover
1f381,0.076,0.188,0.326,0.058,🎁,1F381,\xF0\x9F\x8E\x81,wrapped present
1f636,0.34,0.335,0.15,0.359,😶,1F636,\xF0\x9F\x98\xB6,face without mouth
1f499,0.148,0.064,0.286,0.281,💙,1F499,\xF0\x9F\x92\x99,blue heart
1f530,0.222,0.121,0.237,0.28,🔰,1F530,\xF0\x9F\x94\xB0,japanese symbol for beginner
1f5ff,0.131,0.153,0.118,0.095,🗿,1F5FF,\xF0\x9F\x97\xBF,moyai
1f43a,0.185,0.289,0.083,0.172,🐺,1F43A,\xF0\x9F\x90\xBA,wolf face
1f4bb,0.127,0.234,0.35,0.255,💻,1F4BB,\xF0\x9F\x92\xBB,personal computer
1f344,0.188,0.239,0.21,0.084,🍄,1F344,\xF0\x9F\x8D\x84,mushroom
1f603,0.194,0.177,0.216,0.17,😃,1F603,\xF0\x9F\x98\x83,smiling face with open mouth
2666,0.305,0.178,0.226,0.213,♦,2666,\xE2\x99\xA6,black diamond suit
1f460,0.278,0.119,0.232,0.195,👠,1F460,\xF0\x9F\x91\xA0,high-heeled shoe
1f523,0.108,0.195,0.138,0.17,🔣,1F523,\xF0\x9F\x94\xA3,input symbol for symbols
1f38b,0.164,0.239,0.288,0.122,🎋,1F38B,\xF0\x9F\x8E\x8B,tanabata tree
1f4b1,0.159,0.208,0.127,0.226,💱,1F4B1,\xF0\x9F\x92\xB1,currency exchange
1f3e1,0.115,0.24,0.268,0.153,🏡,1F3E1,\xF0\x9F\x8F\xA1,house with garden
1f41a,0.106,0.301,0.316,0.174,🐚,1F41A,\xF0\x9F\x90\x9A,spiral shell
1f449,0.197,0.258,0.249,0.258,👉,1F449,\xF0\x9F\x91\x89,white right pointing backhand index
1f45c,0.099,0.154,0.223,0.293,👜,1F45C,\xF0\x9F\x91\x9C,handbag
264e,0.144,0.193,0.275,0.161,♎,264E,\xE2\x99\x8E,libra
1f349,0.152,0.143,0.133,0.071,🍉,1F349,\xF0\x9F\x8D\x89,watermelon
1f453,0.157,0.178,0.123,0.149,👓,1F453,\xF0\x9F\x91\x93,eyeglasses
1f637,0.436,0.346,0.159,0.406,😷,1F637,\xF0\x9F\x98\xB7,face with medical mask
260e,0.257,0.204,0.221,0.267,☎,260E,\xE2\x98\x8E,black telephone
1f3c6,0.131,0.194,0.101,0.274,🏆,1F3C6,\xF0\x9F\x8F\x86,trophy
1f3c8,0.185,0.21,0.165,0.354,🏈,1F3C8,\xF0\x9F\x8F\x88,american football
1f3e6,0.236,0.284,0.238,0.233,🏦,1F3E6,\xF0\x9F\x8F\xA6,bank
1f47c,0.206,0.197,0.414,0.371,👼,1F47C,\xF0\x9F\x91\xBC,baby angel
1f4ca,0.213,0.255,0.41,0.228,📊,1F4CA,\xF0\x9F\x93\x8A,bar chart
1f510,0.206,0.095,0.28,0.16,🔐,1F510,\xF0\x9F\x94\x90,closed lock with key
1f559,0.141,0.304,0.191,0.309,🕙,1F559,\xF0\x9F\x95\x99,clock face ten oclock
1f53a,0.321,0.243,0.25,0.214,🔺,1F53A,\xF0\x9F\x94\xBA,up-pointing red triangle
1f605,0.19,0.307,0.232,0.277,😅,1F605,\xF0\x9F\x98\x85,smiling face with open mouth and cold sweat
1f62d,0.246,0.276,0.198,0.272,😭,1F62D,\xF0\x9F\x98\xAD,loudly crying face
1f354,0.177,0.122,0.186,0.113,🍔,1F354,\xF0\x9F\x8D\x94,hamburger
1f454,0.202,0.094,0.112,0.147,👔,1F454,\xF0\x9F\x91\x94,necktie
1f4c7,0.147,0.196,0.249,0.212,📇,1F4C7,\xF0\x9F\x93\x87,card index
1f53b,0.304,0.242,0.207,0.185,🔻,1F53B,\xF0\x9F\x94\xBB,down-pointing red triangle
1f38d,0.115,0.271,0.336,0.17,🎍,1F38D,\xF0\x9F\x8E\x8D,pine decoration
1f63a,0.149,0.192,0.145,0.25,😺,1F63A,\xF0\x9F\x98\xBA,smiling cat face with open mouth
23f3,0.197,0.31,0.266,0.25,⏳,23F3,\xE2\x8F\xB3,hourglass with flowing sand
26c5,0.112,0.279,0.345,0.252,⛅,26C5,\xE2\x9B\x85,sun behind cloud
1f388,0.042,0.128,0.102,0.077,🎈,1F388,\xF0\x9F\x8E\x88,balloon
1f46a,0.249,0.132,0.418,0.215,👪,1F46A,\xF0\x9F\x91\xAA,family
2049,0.188,0.248,0.085,0.219,⁉,2049,\xE2\x81\x89,exclamation question mark
1f357,0.121,0.183,0.215,0.122,🍗,1F357,\xF0\x9F\x8D\x97,poultry leg
1f307,0.065,0.199,0.286,0.201,🌇,1F307,\xF0\x9F\x8C\x87,sunset over buildings
1f38f,0.125,0.212,0.131,0.095,🎏,1F38F,\xF0\x9F\x8E\x8F,carp streamer
